Title,Description,URL,Tag
Neural Networks and Deep Learning,"Neural Networks and Deep Learning Course by DeepLearning.AI, 4.9 stars, by 123K reviews, provide skills Deep Learning, Artificial Neural Networks, Tensorflow etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/neural-networks-deep-learning,Coursera
Data Analyst,Not Available,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Udacity
AI for Education (Intermediate),"AI for Education (Intermediate) free Course by Kennesaw State University, 4.5 stars, by 6 reviews, provide skills Generative AI, Data Ethics, ChatGPT etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-for-education-intermediate,Coursera
AI Programming with Python,Not Available,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,Udacity
Building AI Cloud Apps with Microsoft Azure,"Building AI Cloud Apps with Microsoft Azure new Specialization by Microsoft, 4.4 stars, by 390 reviews, provide skills Cloud Development, Image Analysis, Anomaly Detection etc... Intermediate level, 3 - 6 Months",https://www.coursera.org/specializations/building-ai-cloud-apps-microsoft-azure,Coursera
General AI Mastery Toolbox: Master AI and Drive Success,"General AI Mastery Toolbox: Master AI and Drive Success free Course by Coursera Instructor Network, 4.5 stars, by 13 reviews, provide skills Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Generative AI etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/general-ai-mastery-toolbox-master-ai-and-drive-success,Coursera
AI Workflow: Business Priorities and Data Ingestion,"AI Workflow: Business Priorities and Data Ingestion Course by IBM, 4.3 stars, by 162 reviews, provide skills Design Thinking, Data Science, Artificial Intelligence etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/ibm-ai-workflow-business-priorities-data-ingestion,Coursera
AI Engineering,"AI Engineering Specialization by Scrimba, 4.6 stars, by 130 reviews, provide skills Image Analysis, OpenAI, Cloud Applications etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/ai-engineering,Coursera
ChatGPT: Master Free AI Tools to Supercharge Productivity,"ChatGPT: Master Free AI Tools to Supercharge Productivity Specialization by Vanderbilt University, 4.8 stars, by 5.4K reviews, provide skills ChatGPT, Generative AI, OpenAI etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel,Coursera
Interactive and Immersive Experiences with Generative AI,"Interactive and Immersive Experiences with Generative AI new free Course by Coursera Instructor Network, 5.0 stars, provide skills Generative AI, Virtual Environment, Augmented and Virtual Reality (AR/VR) etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/interactive-and-immersive-experiences-with-generative-ai,Coursera
AI Engineering,"AI Engineering Specialization by Scrimba, 4.6 stars, by 130 reviews, provide skills Image Analysis, OpenAI, Cloud Applications etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/ai-engineering,Coursera
Generative AI in Education,"Generative AI in Education Course by University of Glasgow, 4.5 stars, by 66 reviews, provide skills Generative AI, OpenAI, ChatGPT etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/generative-ai-in-education,Coursera
IBM AI Enterprise Workflow,"IBM AI Enterprise Workflow Specialization by IBM, 4.3 stars, by 311 reviews, provide skills Feature Engineering, Data Ethics, Exploratory Data Analysis etc... Advanced level, 3 - 6 Months",https://www.coursera.org/specializations/ibm-ai-workflow,Coursera
Data Scientist,Not Available,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Udacity
Cloud DevOps Engineer,Not Available,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Udacity
Convolutional Neural Networks,"Convolutional Neural Networks Course by DeepLearning.AI, 4.9 stars, by 42K reviews, provide skills Computer Vision, Image Analysis, Deep Learning etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/convolutional-neural-networks,Coursera
Front End Web Developer,Not Available,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Udacity
AI for Trading,Not Available,https://www.udacity.com/course/ai-for-trading--nd880,Udacity
Business Analytics,Not Available,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Udacity
Agentic AI and AI Agents for Leaders,"Agentic AI and AI Agents for Leaders new Specialization by Vanderbilt University, 4.8 stars, by 5.3K reviews, provide skills ChatGPT, Generative AI, Artificial Intelligence etc... Beginner level, 1 - 3 Months",https://www.coursera.org/specializations/ai-agents-for-leaders,Coursera
Digital Marketing,Not Available,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Udacity
AI for Medical Prognosis,"AI for Medical Prognosis  Course by DeepLearning.AI, 4.7 stars, by 783 reviews, provide skills Risk Modeling, Decision Tree Learning, Predictive Modeling etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-for-medical-prognosis,Coursera
AI Concepts and Strategy,"AI Concepts and Strategy Course by Rutgers the State University of New Jersey, 4.4 stars, by 13 reviews, provide skills OpenAI, Generative AI, Artificial Intelligence etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-strategy,Coursera
IBM AI Enterprise Workflow,"IBM AI Enterprise Workflow Specialization by IBM, 4.3 stars, by 311 reviews, provide skills Feature Engineering, Data Ethics, Exploratory Data Analysis etc... Advanced level, 3 - 6 Months",https://www.coursera.org/specializations/ibm-ai-workflow,Coursera
User Experience,Not Available,https://www.udacity.com/course/ux-designer-nanodegree--nd578,Udacity
Introduction to Generative AI,"Introduction to Generative AI Course by Duke University, 4.5 stars, by 102 reviews, provide skills Generative AI, ChatGPT, OpenAI etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/intro-gen-ai,Coursera
Leveraging AI for Enhanced Content Creation,"Leveraging AI for Enhanced Content Creation  free Course by Coursera Instructor Network, 4.6 stars, by 103 reviews, provide skills Generative AI, Advertising, Advertising Campaigns etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/leveraging-ai-for-enhanced-content-creation,Coursera
Generative AI for Developers,"Generative AI for Developers Specialization by Fractal Analytics, 4.4 stars, by 71 reviews, provide skills Generative AI, Code Review, Debugging etc... Beginner level, 1 - 3 Months",https://www.coursera.org/specializations/generative-ai-for-developers,Coursera
AI for Trading,Not Available,https://www.udacity.com/course/ai-for-trading--nd880,Udacity
AI for Web Developers,"AI for Web Developers Specialization by Scrimba, 4.5 stars, by 162 reviews, provide skills OpenAI, Cloud Applications, Front-End Web Development etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/intro-to-ai-for-web-developers,Coursera
Accelerate Your Learning with ChatGPT,"Accelerate Your Learning with ChatGPT free Course by Deep Teaching Solutions, 4.8 stars, by 425 reviews, provide skills Creative Thinking, ChatGPT, Learning Strategies etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/learning-chatgpt,Coursera
AI and Climate Change,"AI and Climate Change Course by DeepLearning.AI, 4.8 stars, by 113 reviews, provide skills Image Analysis, Environmental Monitoring, Artificial Intelligence etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-and-climate-change,Coursera
Building AI Cloud Apps with Microsoft Azure,"Building AI Cloud Apps with Microsoft Azure new Specialization by Microsoft, 4.4 stars, by 390 reviews, provide skills Cloud Development, Image Analysis, Anomaly Detection etc... Intermediate level, 3 - 6 Months",https://www.coursera.org/specializations/building-ai-cloud-apps-microsoft-azure,Coursera
Securing AI and Advanced Topics,"Securing AI and Advanced Topics new Course by Johns Hopkins University, 4.3 stars, by 6 reviews, provide skills Generative AI, Feature Engineering, Cybersecurity etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/learn/securing-ai-and-advanced-topics,Coursera
Programming for Data Science with Python,Not Available,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,Udacity
The IntelÂ® AI Value,"The IntelÂ® AI Value Course by Intel, 4.1 stars, by 13 reviews, provide skills Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Technology Strategies etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/the-intel-ai-value,Coursera
Generative AI for Product Managers,"Generative AI for Product Managers Specialization by IBM, SkillUp EdTech, 4.7 stars, by 4.6K reviews, provide skills ChatGPT, Generative AI, Commercialization etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/generative-ai-for-product-managers,Coursera
Programming for Data Science with Python,Not Available,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,Udacity
Using AI to Expand Creativity,"Using AI to Expand Creativity new Course by University of Michigan, 5.0 stars, by 8 reviews, provide skills Generative AI, Artificial Intelligence, Creativity etc... Beginner level, 1 - 3 Months",https://www.coursera.org/learn/using-ai-to-expand-creativity,Coursera
Learn AI Agents,"Learn AI Agents Course by Scrimba, 4.7 stars, by 27 reviews, provide skills User Interface (UI), Human Computer Interaction, User Interface and User Experience (UI/UX) Design etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/learn-ai-agents,Coursera
IBM AI Product Manager,"IBM AI Product Manager Professional Certificate by IBM, SkillUp EdTech, 4.7 stars, by 22K reviews, provide skills Generative AI, New Product Development, Product Management etc... Beginner level, 3 - 6 Months",https://www.coursera.org/professional-certificates/ibm-ai-product-manager,Coursera
AI for Autonomous Vehicles and Robotics,"AI for Autonomous Vehicles and Robotics new Course by University of Michigan, 4.6 stars, by 9 reviews, provide skills Machine Learning, Machine Learning Algorithms, Image Analysis etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-for-autonomous-vehicles-and-robotics,Coursera
AI in Healthcare,"AI in Healthcare Specialization by Stanford University, 4.7 stars, by 2K reviews, provide skills Feature Engineering, Pharmaceuticals, Data Ethics etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/ai-healthcare,Coursera
Generative AI for Everyone,"Generative AI for Everyone Course by DeepLearning.AI, 4.8 stars, by 3.1K reviews, provide skills Generative AI, OpenAI, ChatGPT etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/generative-ai-for-everyone,Coursera
Process Documents with Python Using the Document AI API,"Process Documents with Python Using the Document AI API Project by Google Cloud, 4.8 stars, by 5 reviews, provide skills Google Cloud Platform, Unstructured Data, Data Processing etc... Beginner level, Less Than 2 Hours",https://www.coursera.org/projects/googlecloud-process-documents-with-python-using-the-document-ai-api-jl9z7,Coursera
Cloud DevOps Engineer,Not Available,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Udacity
Data Analysis with Python,"Data Analysis with Python Course by IBM, 4.7 stars, by 19K reviews, provide skills Data Wrangling, Data Cleansing, Data Analysis etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/learn/data-analysis-with-python,Coursera
AI Foundations: Prompt Engineering with ChatGPT,"AI Foundations: Prompt Engineering with ChatGPT Course by Arizona State University, 4.1 stars, by 64 reviews, provide skills ChatGPT, OpenAI, Data Ethics etc... Beginner level, 1 - 3 Months",https://www.coursera.org/learn/ai-foundations-prompt-engineering-with-chatgpt,Coursera
Machine Learning,"Machine Learning Specialization by DeepLearning.AI, Stanford University, 4.9 stars, by 32K reviews, provide skills Unsupervised Learning, Supervised Learning, Artificial Intelligence and Machine Learning (AI/ML) etc... Beginner level, 1 - 3 Months",https://www.coursera.org/specializations/machine-learning-introduction,Coursera
Designing Autonomous AI,"Designing Autonomous AI Course by University of Washington, 4.8 stars, by 12 reviews, provide skills Process Design, Artificial Intelligence, Systems Design etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/designing-autonomous-ai,Coursera
Evaluations of AI Applications in Healthcare,"Evaluations of AI Applications in Healthcare Course by Stanford University, 4.5 stars, by 273 reviews, provide skills Data Ethics, Artificial Intelligence, Healthcare Industry Knowledge etc... Beginner level, 1 - 3 Months",https://www.coursera.org/learn/evaluations-ai-applications-healthcare,Coursera
Leadership Strategies for AI and Generative AI,"Leadership Strategies for AI and Generative AI Specialization by Fractal Analytics, 4.6 stars, by 134 reviews, provide skills Data Ethics, Human Centered Design, Problem Solving etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/leadership-strategies-for-ai-and-generative-ai,Coursera
AI Agentic Design Patterns with AutoGen,"AI Agentic Design Patterns with AutoGen free Project by DeepLearning.AI, 4.2 stars, by 13 reviews, provide skills Generative AI, ChatGPT, OpenAI etc... Beginner level, Less Than 2 Hours",https://www.coursera.org/projects/ai-agentic-design-patterns-with-autogen,Coursera
AI Infrastructure and Operations Fundamentals,"AI Infrastructure and Operations Fundamentals Course by NVIDIA, 4.6 stars, by 317 reviews, provide skills Artificial Intelligence and Machine Learning (AI/ML), Generative AI, MLOps (Machine Learning Operations) etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals,Coursera
Python for Everybody,"Python for Everybody Specialization by University of Michigan, 4.8 stars, by 277K reviews, provide skills Web Scraping, Data Processing, Relational Databases etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/python,Coursera
Exploring AI Possibilities,"Exploring AI Possibilities Course by Fred Hutchinson Cancer Center, 4.0 stars, provide skills Artificial Intelligence, Leadership, Artificial Intelligence and Machine Learning (AI/ML) etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/exploring-ai-possibilities,Coursera
Generative AI for University Leaders,"Generative AI for University Leaders  free Course by Vanderbilt University, 4.8 stars, by 786 reviews, provide skills Generative AI, Operational Efficiency, Innovation etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/gen-ai-for-university-leaders,Coursera
GenAI for Execs & Business Leaders: Integration Strategy,"GenAI for Execs & Business Leaders: Integration Strategy new Course by IBM, 4.9 stars, by 32 reviews, provide skills Competitive Intelligence, Return On Investment, Data Strategy etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/generative-ai-for-executives-and-business-leaders-integration-strategy,Coursera
Data Analyst,Not Available,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Udacity
Data Analyst,Not Available,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Udacity
Data Structures and Algorithms,Not Available,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Udacity
AI Fundamentals for Non-Data Scientists,"AI Fundamentals for Non-Data Scientists Course by University of Pennsylvania, 4.8 stars, by 643 reviews, provide skills Generative AI, Big Data, Machine Learning etc... Mixed level, 1 - 3 Months",https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,Coursera
OpenAI for Beginners: AI Assistants for Project Managers,"OpenAI for Beginners: AI Assistants for Project Managers free Guided Project by Coursera Project Network, 3.3 stars, by 10 reviews, provide skills Generative AI, Application Deployment, Project Management Software etc... Beginner level, Less Than 2 Hours",https://www.coursera.org/projects/openai-for-beginners-ai-assistants-for-project-managers,Coursera
AI Programming with Python,Not Available,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,Udacity
iOS Development with SwiftUI and SwiftData,Not Available,https://www.udacity.com/course/ios-developer-nanodegree--nd003,Udacity
Generative AI for Data Analysts,"Generative AI for Data Analysts Specialization by IBM, 4.7 stars, by 4.6K reviews, provide skills Generative AI, ChatGPT, Data Storytelling etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/generative-ai-for-data-analysts,Coursera
Generative AI for Software Developers,"Generative AI for Software Developers Specialization by IBM, 4.7 stars, by 4.6K reviews, provide skills ChatGPT, Generative AI, OpenAI etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/generative-ai-for-software-developers,Coursera
Generative AI for Business Intelligence (BI) Analysts,"Generative AI for Business Intelligence (BI) Analysts Specialization by IBM, SkillUp EdTech, 4.7 stars, by 4.5K reviews, provide skills ChatGPT, Generative AI, Interactive Data Visualization etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/generative-ai-for-business-intelligence-analysts,Coursera
iOS Development with SwiftUI and SwiftData,Not Available,https://www.udacity.com/course/ios-developer-nanodegree--nd003,Udacity
Building AI Powered Chatbots Without Programming,"Building AI Powered Chatbots Without Programming Course by IBM, 4.7 stars, by 3.4K reviews, provide skills IBM Cloud, User Experience, Application Deployment etc... Beginner level, 1 - 3 Months",https://www.coursera.org/learn/building-ai-powered-chatbots,Coursera
AI for Creative Work,"AI for Creative Work new Specialization by University of Michigan, 4.8 stars, by 21 reviews, provide skills Data Ethics, Generative AI, Artificial Intelligence etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/ai-for-creative-work,Coursera
Data Structures and Algorithms,Not Available,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Udacity
Business Analytics,Not Available,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Udacity
Generative AI Language Modeling with Transformers,"Generative AI Language Modeling with Transformers Course by IBM, 4.6 stars, by 60 reviews, provide skills Generative AI, PyTorch (Machine Learning Library), Natural Language Processing etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/generative-ai-language-modeling-with-transformers,Coursera
AI for Trading,Not Available,https://www.udacity.com/course/ai-for-trading--nd880,Udacity
ChatGPT: Master Free AI Tools to Supercharge Productivity,"ChatGPT: Master Free AI Tools to Supercharge Productivity Specialization by Vanderbilt University, 4.8 stars, by 5.4K reviews, provide skills ChatGPT, Generative AI, OpenAI etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel,Coursera
Generative AI for Software Development,"Generative AI for Software Development new Professional Certificate by DeepLearning.AI, 4.6 stars, by 456 reviews, provide skills Database Design, Software Documentation, Software Design Patterns etc... Beginner level, 1 - 3 Months",https://www.coursera.org/professional-certificates/generative-ai-for-software-development,Coursera
AI for Trading,Not Available,https://www.udacity.com/course/ai-for-trading--nd880,Udacity
AI For Everyone,"AI For Everyone Course by DeepLearning.AI, 4.8 stars, by 46K reviews, provide skills Data Ethics, Market Opportunities, Artificial Intelligence and Machine Learning (AI/ML) etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-for-everyone,Coursera
Generative AI Engineering with LLMs,"Generative AI Engineering with LLMs new Specialization by IBM, 4.5 stars, by 282 reviews, provide skills Generative AI, Natural Language Processing, PyTorch (Machine Learning Library) etc... Intermediate level, 3 - 6 Months",https://www.coursera.org/specializations/generative-ai-engineering-with-llms,Coursera
Generative AI in HR - Impact and Application of Gen AI,"Generative AI in HR - Impact and Application of Gen AI Course by Board Infinity, 4.3 stars, by 183 reviews, provide skills HR Tech, People Analytics, Human Resources etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/generative-ai-in-hr,Coursera
Full Stack Web Developer,Not Available,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Udacity
Data Analyst,Not Available,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Udacity
React,Not Available,https://www.udacity.com/course/react-nanodegree--nd019,Udacity
AI for Web Developers,"AI for Web Developers Specialization by Scrimba, 4.5 stars, by 162 reviews, provide skills OpenAI, Cloud Applications, Front-End Web Development etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/intro-to-ai-for-web-developers,Coursera
Core Concepts in AI,"Core Concepts in AI new Course by Johns Hopkins University, 4.7 stars, by 6 reviews, provide skills Strategic Leadership, Artificial Intelligence, Organizational Strategy etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/learn/core-concepts-in-ai,Coursera
IBM AI Foundations for Business,"IBM AI Foundations for Business Specialization by IBM, IBM, 4.7 stars, by 91K reviews, provide skills Data Mining, Artificial Intelligence, Generative AI etc... Beginner level, 1 - 3 Months",https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Coursera
AI for Education (Advanced),"AI for Education (Advanced) Course by Kennesaw State University, 4.6 stars, by 9 reviews, provide skills Data Ethics, ChatGPT, Artificial Intelligence etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-for-education-advanced,Coursera
Developing Explainable AI (XAI),"Developing Explainable AI (XAI) new Course by Duke University, 4.5 stars, by 15 reviews, provide skills Data Ethics, Generative AI, Artificial Intelligence etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/explainable-ai-xai,Coursera
Product Manager,Not Available,https://www.udacity.com/course/product-manager-nanodegree--nd036,Udacity
Microsoft Copilot for Data Science,"Microsoft Copilot for Data Science new Specialization by Microsoft, 4.4 stars, by 34 reviews, provide skills Generative AI, Technical Communication, Anomaly Detection etc... Beginner level, 1 - 3 Months",https://www.coursera.org/specializations/microsoft-copilot-for-data-science,Coursera
Business Implications of AI: Full course,"Business Implications of AI: Full course Course by EIT Digital, 4.1 stars, by 50 reviews, provide skills Strategic Decision-Making, Business Strategy, Strategic Thinking etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/business-implications-ai,Coursera
Cloud DevOps Engineer,Not Available,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Udacity
"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier","ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier Specialization by Vanderbilt University, 4.8 stars, by 5.3K reviews, provide skills ChatGPT, Generative AI, OpenAI etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/chatgpt-gpt-zapier-excel-at-automation,Coursera
Generative AI and LLMs: Architecture and Data Preparation,"Generative AI and LLMs: Architecture and Data Preparation Course by IBM, 4.7 stars, by 148 reviews, provide skills Generative AI, PyTorch (Machine Learning Library), Natural Language Processing etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/generative-ai-llm-architecture-data-preparation,Coursera
Generative AI Assistants,"Generative AI Assistants Specialization by Vanderbilt University, 4.8 stars, by 5.5K reviews, provide skills ChatGPT, Generative AI, Ideation etc... Beginner level, 1 - 3 Months",https://www.coursera.org/specializations/generative-ai-assistants,Coursera
Introduction to Vertex AI Studio,"Introduction to Vertex AI Studio free Course by Google Cloud, 4.7 stars, by 206 reviews, provide skills Generative AI, Prototyping, Performance Tuning etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/introduction-to-generative-ai-studio,Coursera
Digital Marketing,Not Available,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Udacity
Data Engineering with AWS,Not Available,https://www.udacity.com/course/data-engineer-nanodegree--nd027,Udacity
IntelÂ® AI Fundamentals,"IntelÂ® AI Fundamentals Specialization by Intel, 4.1 stars, by 66 reviews, provide skills Artificial Intelligence, Business Technologies, Complex Problem Solving etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/specializations/intel-ai-fundamental,Coursera
The AI Ladder: A Framework for Deploying AI in your Enterprise,"The AI Ladder: A Framework for Deploying AI in your Enterprise Course by IBM, 4.6 stars, by 372 reviews, provide skills Information Architecture, Strategic Decision-Making, Data Strategy etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/ibm-ai-ladder-framework,Coursera
Natural Language Processing,Not Available,https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,Udacity
Deep Learning,Not Available,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Udacity
Generative AI Cybersecurity & Privacy for Leaders,"Generative AI Cybersecurity & Privacy for Leaders new Specialization by Vanderbilt University, 4.8 stars, by 5.2K reviews, provide skills ChatGPT, Generative AI, Crisis Management etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/generative-ai-cybersecurity-leaders,Coursera
Generative AI for Data Engineers,"Generative AI for Data Engineers Specialization by IBM, 4.7 stars, by 4.5K reviews, provide skills ChatGPT, Generative AI, Database Design etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/generative-ai-for-data-engineers,Coursera
AI for Medical Prognosis,"AI for Medical Prognosis  Course by DeepLearning.AI, 4.7 stars, by 783 reviews, provide skills Risk Modeling, Decision Tree Learning, Predictive Modeling etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-for-medical-prognosis,Coursera
Cloud Developer,Not Available,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Udacity
AI Infrastructure and Operations Fundamentals,"AI Infrastructure and Operations Fundamentals Course by NVIDIA, 4.6 stars, by 317 reviews, provide skills Artificial Intelligence and Machine Learning (AI/ML), Generative AI, MLOps (Machine Learning Operations) etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals,Coursera
Build an Automated Landing page using AI from Wix ADI,"Build an Automated Landing page using AI from Wix ADI Guided Project by Coursera Project Network, 4.4 stars, by 47 reviews, provide skills Email Marketing, Lead Generation, Marketing Automation etc... Beginner level, Less Than 2 Hours",https://www.coursera.org/projects/build-automated-landing-page-using-ai-wix-adi,Coursera
"Functions, Tools and Agents with LangChain","Functions, Tools and Agents with LangChain free Project by DeepLearning.AI, 4.8 stars, by 80 reviews, provide skills ChatGPT, OpenAI, Generative AI etc... Intermediate level, Less Than 2 Hours",https://www.coursera.org/projects/functions-tools-and-agents-with-langchain-project,Coursera
Cloud Developer,Not Available,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Udacity
"AI, Empathy & Ethics","AI, Empathy & Ethics free Course by University of California, Santa Cruz, 4.5 stars, by 263 reviews, provide skills Data Ethics, Artificial Intelligence, Artificial Neural Networks etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-empathy-ethics,Coursera
Computer Vision,Not Available,https://www.udacity.com/course/computer-vision-nanodegree--nd891,Udacity
English for Career Development,"English for Career Development free Course by University of Pennsylvania, 4.8 stars, by 16K reviews, provide skills Vocabulary, Business Writing, Interviewing Skills etc... Mixed level, 1 - 3 Months",https://www.coursera.org/learn/careerdevelopment,Coursera
GenAI for Everyone,"GenAI for Everyone free Course by Coursera Instructor Network, 4.7 stars, by 37 reviews, provide skills Generative AI, Data Ethics, Human Resource Strategy etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/genai-for-everyone-cin,Coursera
Deep Learning,"Deep Learning Specialization by DeepLearning.AI, 4.8 stars, by 145K reviews, provide skills Computer Vision, Deep Learning, Image Analysis etc... Intermediate level, 3 - 6 Months",https://www.coursera.org/specializations/deep-learning,Coursera
Cloud Developer,Not Available,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Udacity
Google AI Essentials,"Google AI Essentials Course by Google, 4.7 stars, by 9.3K reviews, provide skills Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Productivity Software etc... Beginner level, 1 - 3 Months",https://www.coursera.org/learn/google-ai-essentials,Coursera
